model,structure,bertscore_f1,rouge_l,judge_faithfulness,judge_answer_relevancy,judge_empathy,judge_safety,retrieval_relevance,avg_runtime_sec,token_throughput,inference_stability,json_success_rate,n
gemma2:9b,single_rag,0.7659918665885925,0.14210359092490776,3.689655172413793,4.689655172413793,3.8620689655172415,4.517241379310345,2.413793103448276,25.870689655172413,0.0,1.0,0.9655172413793104,29
gemma2:9b,three_agent,0.7671142220497131,0.14679845576644213,3.689655172413793,4.655172413793103,4.172413793103448,4.827586206896552,2.413793103448276,71.70241379310345,0.0,1.0,1.0,29
llama3.1:8b,single_rag,0.7672256231307983,0.14924655992050373,3.413793103448276,4.344827586206897,3.8620689655172415,4.103448275862069,2.413793103448276,23.952068965517242,0.0,1.0,0.8620689655172413,29
llama3.1:8b,three_agent,0.7555948495864868,0.143985964730331,3.6551724137931036,4.620689655172414,4.241379310344827,4.758620689655173,2.413793103448276,56.89586206896552,0.0,1.0,0.9310413793103448,29
mistral:7b,single_rag,0.7500163316726685,0.13994430418241507,3.2413793103448274,4.275862068965517,3.310344827586207,4.310344827586207,2.413793103448276,32.48620689655173,0.0,1.0,1.0,29
mistral:7b,three_agent,0.754915714263916,0.13915060857433637,3.3448275862068964,4.172413793103448,4.0,4.0,2.413793103448276,76.8951724137931,0.0,1.0,0.9655172413793104,29
qwen2.5:14b,single_rag,0.7660596966743469,0.13858142466157994,3.689655172413793,4.655172413793103,3.6206896551724137,4.758620689655173,2.413793103448276,77.58310344827586,0.0,1.0,1.0,29
qwen2.5:14b,three_agent,0.7648169994354248,0.13307271564610107,3.7586206896551726,4.793103448275862,4.0344827586206895,4.827586206896552,2.413793103448276,221.19758620689655,0.0,1.0,1.0,29
qwen2.5:7b,single_rag,0.7601445913314819,0.1416200280883569,3.896551724137931,4.862068965517241,3.793103448275862,4.862068965517241,2.413793103448276,33.98379310344828,0.0,1.0,0.10344827586206896,29
qwen2.5:7b,three_agent,0.7601802349090576,0.13947631751491152,4.0,4.862068965517241,4.172413793103448,4.931034482758621,2.413793103448276,72.53413793103448,0.0,1.0,0.7011379310344827,29
