model,structure,avg_runtime_sec,token_throughput,inference_stability,json_success_rate,n
gemma2:9b,single_rag,25.870689655172413,0.0,1.0,0.9655172413793104,29
gemma2:9b,three_agent,71.70241379310345,0.0,1.0,1.0,29
llama3.1:8b,single_rag,23.952068965517242,0.0,1.0,0.8620689655172413,29
llama3.1:8b,three_agent,56.89586206896552,0.0,1.0,0.9310413793103448,29
mistral:7b,single_rag,32.48620689655173,0.0,1.0,1.0,29
mistral:7b,three_agent,76.8951724137931,0.0,1.0,0.9655172413793104,29
qwen2.5:14b,single_rag,77.58310344827586,0.0,1.0,1.0,29
qwen2.5:14b,three_agent,221.19758620689655,0.0,1.0,1.0,29
qwen2.5:7b,single_rag,33.98379310344828,0.0,1.0,0.10344827586206896,29
qwen2.5:7b,three_agent,72.53413793103448,0.0,1.0,0.7011379310344827,29
